epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2572,1.92393,4.43655,1.58379,0.16507,0.40427,0.1271,0.08271,1.34384,2.87082,1.26297,9.174e-05,9.174e-05,9.174e-05
2,29.6228,1.44496,2.46344,1.26269,0.22437,0.64463,0.30358,0.19744,1.24898,1.95469,1.23838,0.000182581,0.000182581,0.000182581
3,42.5855,1.37479,2.06591,1.23504,0.27997,0.69046,0.35962,0.23613,1.20864,1.73427,1.19842,0.000271587,0.000271587,0.000271587
4,55.7494,1.32277,1.91152,1.20425,0.35204,0.72166,0.46234,0.30471,1.16143,1.5788,1.18617,0.000269743,0.000269743,0.000269743
5,69.0844,1.25392,1.7311,1.16573,0.39709,0.75331,0.50277,0.33711,1.15756,1.48934,1.16271,0.000266991,0.000266991,0.000266991
6,82.915,1.27481,1.66619,1.18172,0.40737,0.788,0.52574,0.34642,1.16479,1.41544,1.1736,0.000264239,0.000264239,0.000264239
7,96.0884,1.24179,1.58961,1.15412,0.43888,0.82735,0.57151,0.38178,1.13371,1.3328,1.15455,0.000261487,0.000261487,0.000261487
8,109.036,1.22715,1.51091,1.15826,0.45416,0.84717,0.57997,0.37887,1.14395,1.29425,1.16761,0.000258735,0.000258735,0.000258735
9,121.908,1.22597,1.47021,1.15854,0.46622,0.84707,0.5814,0.38224,1.13606,1.26611,1.1625,0.000255982,0.000255982,0.000255982
10,134.949,1.21875,1.42136,1.16642,0.46465,0.8663,0.55595,0.37392,1.11226,1.26644,1.14236,0.00025323,0.00025323,0.00025323
11,148.094,1.21013,1.39506,1.13633,0.45596,0.87622,0.51432,0.33943,1.1017,1.27574,1.15283,0.000250478,0.000250478,0.000250478
12,161.174,1.19947,1.35375,1.13883,0.46166,0.87108,0.55391,0.36381,1.14037,1.24924,1.16029,0.000247726,0.000247726,0.000247726
13,174.163,1.16547,1.34613,1.13665,0.47344,0.87946,0.55634,0.36496,1.1232,1.21462,1.16196,0.000244974,0.000244974,0.000244974
14,187.276,1.193,1.31756,1.13818,0.52153,0.84357,0.67328,0.45764,1.10637,1.13454,1.13205,0.000242221,0.000242221,0.000242221
