epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.179,2.04061,4.8795,1.66164,0.10142,0.02332,0.01533,0.00903,1.60833,4.7177,1.48586,6.672e-05,6.672e-05,6.672e-05
2,1066.81,1.45983,2.86171,1.26794,0.17189,0.45718,0.19522,0.13067,1.26396,3.69904,1.21975,0.000134871,0.000134871,0.000134871
3,1691.47,1.36455,2.14605,1.21256,0.25229,0.62281,0.34991,0.23778,1.18534,2.04208,1.18795,0.000201647,0.000201647,0.000201647
4,2247,1.31835,1.9353,1.20031,0.32818,0.66767,0.41836,0.26994,1.26117,1.789,1.22616,0.000267046,0.000267046,0.000267046
5,2837.82,1.30607,1.80798,1.19473,0.33157,0.74637,0.44425,0.29104,1.17708,1.62208,1.16727,0.000266991,0.000266991,0.000266991
6,3407.76,1.25272,1.69599,1.16371,0.33622,0.73222,0.4589,0.31273,1.14786,1.58076,1.15814,0.000264239,0.000264239,0.000264239
7,4068.56,1.24672,1.61229,1.14746,0.39633,0.79164,0.52977,0.35608,1.11683,1.44663,1.14793,0.000261487,0.000261487,0.000261487
8,4763.91,1.22609,1.531,1.14994,0.43933,0.78846,0.53369,0.35836,1.13221,1.39712,1.14601,0.000258735,0.000258735,0.000258735
9,5229.5,1.20632,1.48175,1.13463,0.42398,0.83688,0.50982,0.34275,1.11101,1.36075,1.14252,0.000255982,0.000255982,0.000255982
10,5830.43,1.22361,1.44983,1.13356,0.4543,0.85195,0.55237,0.36673,1.13819,1.33363,1.15188,0.00025323,0.00025323,0.00025323
11,6432.06,1.20402,1.39962,1.12464,0.45931,0.84558,0.55857,0.36518,1.15567,1.32344,1.17641,0.000250478,0.000250478,0.000250478
12,7028.46,1.19733,1.37293,1.13323,0.46931,0.843,0.6143,0.41038,1.1332,1.24442,1.13805,0.000247726,0.000247726,0.000247726
13,7662.07,1.19073,1.37658,1.13358,0.44404,0.86384,0.5543,0.3625,1.17622,1.30217,1.14177,0.000244974,0.000244974,0.000244974
14,8294.65,1.18039,1.32493,1.12014,0.4519,0.88177,0.5121,0.33662,1.13991,1.30214,1.13796,0.000242221,0.000242221,0.000242221
